OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
KUIPER-00126,2025-228J,2025-11-17T20:45:38.999981,15.22616842,.0006224,51.8847,141.0316,283.0022,192.4132,0,C,65955,321,1,-.17635E-1,-.41172E-2,0,1.705,Kuiper-E
KUIPER-00127,2025-228K,2025-11-17T23:04:04.999958,15.29014113,.0004795,51.8788,140.0625,284.9798,283.1493,0,C,65956,321,1,-.11912E-2,-.34095E-3,0,1.071,Kuiper-E
KUIPER-00128,2025-228L,2025-11-17T22:53:39.999984,15.34990763,.0005877,51.8772,140.0042,268.8633,297.5850,0,C,65957,321,1,.50369E-3,.17416E-3,0,0.250,Kuiper-E
KUIPER-00129,2025-228M,2025-11-17T22:51:09.999994,15.35366891,.0005731,51.8773,139.9881,256.3641,312.0663,0,C,65958,321,1,.50704E-3,.17743E-3,0,0.250,Kuiper-E
KUIPER-00130,2025-228N,2025-11-18T00:37:09.999984,15.34900777,.0005283,51.8760,139.6914,279.8147,303.5593,0,C,65959,322,1,.20986E-3,.72322E-4,0,0.309,Kuiper-E
KUIPER-00134,2025-228P,2025-11-18T00:40:35.999962,15.34920478,.0005534,51.8759,139.7027,277.1894,307.9139,0,C,65960,322,1,.43887E-3,.15138E-3,0,0.247,Kuiper-E
KUIPER-00135,2025-228Q,2025-11-17T21:06:04.999997,15.34814639,.000381,51.8773,140.4248,265.8604,218.3510,0,C,65961,321,1,-.68655E-3,-.23567E-3,0,0.412,Kuiper-E
KUIPER-00136,2025-228R,2025-11-17T22:48:36.000029,15.35374774,.0005407,51.8773,139.9798,260.1419,306.5043,0,C,65962,321,1,.50855E-3,.17799E-3,0,0.249,Kuiper-E
KUIPER-00137,2025-228S,2025-11-17T23:00:10.999987,15.34751583,.0005086,51.8771,140.0385,281.2768,283.1767,0,C,65963,321,1,-.19943E-3,-.6837E-4,0,0.371,Kuiper-E
KUIPER-00138,2025-228T,2025-11-17T23:06:22.000032,15.34748801,.0006476,51.8761,140.0568,284.2585,281.2159,0,C,65964,321,1,.48096E-3,.16503E-3,0,0.252,Kuiper-E
KUIPER-00140,2025-228U,2025-11-18T00:47:36.000038,15.34610681,.0005444,51.8767,139.7418,284.2531,300.3538,0,C,65965,322,1,.4238E-3,.14474E-3,0,0.249,Kuiper-E
KUIPER-00141,2025-228V,2025-11-18T00:31:06.999974,15.35295724,.0005479,51.8764,139.6656,267.3343,315.4689,0,C,65966,322,1,.45919E-3,.16031E-3,0,0.247,Kuiper-E
KUIPER-00146,2025-228W,2025-11-17T22:56:48.999984,15.34790005,.0005919,51.8773,140.0203,270.9699,295.0296,0,C,65967,321,1,.49905E-3,.17145E-3,0,0.250,Kuiper-E
KUIPER-00149,2025-228X,2025-11-17T22:50:07.999958,15.35400281,.0005179,51.8769,139.9698,260.9858,311.5088,0,C,65968,321,1,.50786E-3,.17789E-3,0,0.249,Kuiper-E
KUIPER-00154,2025-228Y,2025-11-17T22:48:08.000035,15.35103685,.0005296,51.8769,139.9753,261.9116,303.6879,0,C,65969,321,1,.50901E-3,.17661E-3,0,0.249,Kuiper-E
KUIPER-00157,2025-228Z,2025-11-18T00:41:26.999981,15.34836488,.0005707,51.8770,139.7130,285.0755,301.5859,0,C,65970,322,1,.43702E-3,.15035E-3,0,0.247,Kuiper-E
